"id","category_id","img","name","opentime","phone","life_add","life_add_url","branch"
36,8,"","이화세탁","08:30~22:00 / 일 휴무","02-2292-4494","서울시 성동구 마조로 11길 8","http://map.naver.com/?dlevel=12&pinType=site&pinId=18778618&x=127.0405375&y=37.5618750&enc=b64","null"
37,8,"","coin wash24","24시간","","서울시 성동구 마조로 9길 11","http://map.naver.com/?dlevel=12&pinType=site&pinId=11477725&x=127.0402224&y=37.5611799&enc=b64","null"
38,8,"","한나세탁","08:00~21:00 / 일 휴무","02-2299-7970","서울시 성동구 사근동 8길 11","http://map.naver.com/?dlevel=12&pinType=site&pinId=18774981&x=127.0468375&y=37.5601583&enc=b64","null"
39,8,"","크린토피아","09:30~20:30 / 공휴일 휴무","02-2293-3863","서울시 성동구 살곶이 8길 21","http://map.naver.com/?dlevel=12&pinType=site&pinId=31169108&x=127.0429080&y=37.5564763&enc=b64","한양대점"
40,9,"sevenEleven.png","세븐일레븐","24시간","070-8243-6017","서울시 성동구 마조로9길 11-1","http://map.naver.com/?dlevel=12&pinType=site&pinId=31873702&x=127.0401048&y=37.5611905&enc=b64","행당미르점"
41,9,"cu.png","CU","24시간","","서울시 성동구 마조로15길 5","http://map.naver.com/?dlevel=12&pinType=site&pinId=31454682&x=127.0409361&y=37.5636290&enc=b64","마장금호점"
42,9,"","위드미 마장금호점","24시간","","서울시 성동구 마조로55 116호","http://map.naver.com/?dlevel=12&pinType=site&pinId=18774872&x=127.0415580&y=37.5656040&enc=b64","마장금호점"
43,9,"cu.png","CU","24시간","","서울시 성동구 마조로 11길 3-1","http://map.naver.com/?dlevel=12&pinType=site&pinId=34300693&x=127.0410911&y=37.5616973&enc=b64","한양대 사랑점"
44,9,"","토마토편의점","24시간","","서울시 성동구 행당동 마조로7길 15-1","http://map.naver.com/?dlevel=12&pinType=site&pinId=18778674&x=127.0394406&y=37.5607203&enc=b64","null"
45,9,"","오투24스토어","24시간","","서울시 성동구 행당동 마조로5길 4-16","http://map.naver.com/?dlevel=12&pinType=site&pinId=18776306&x=127.0408888&y=37.5606269&enc=b64","null"
46,9,"cu.png","CU","24시간","","서울시 성동구 마조로1길 32","http://map.naver.com/?dlevel=12&pinType=site&pinId=21855884&x=127.0394720&y=37.5602880&enc=b64","왕십리점"
47,9,"gs.png","GS25","24시간","","서울시 성동구 마조로 37","http://map.naver.com/?dlevel=12&pinType=site&pinId=18778447&x=127.0413030&y=37.5611500&enc=b64","null"
48,9,"gs.png","GS25","24시간","","서울시 성동구 사근동길 10","http://map.naver.com/?dlevel=12&pinType=site&pinId=21002939&x=127.0422050&y=37.5602420&enc=b64","한양대후문점"
49,9,"gs.png","GS25","24시간","","서울시 성동구 사근동길 42","http://map.naver.com/?dlevel=12&pinType=site&pinId=36210440&x=127.0454700&y=37.5607700&enc=b64","한양원룸점"
50,9,"gs.png","GS25","24시간","","서울시 성동구 사근동 10길 16","http://map.naver.com/?dlevel=12&pinType=site&pinId=32507384&x=127.0490500&y=37.5603700&enc=b64","한양여대점"
51,9,"sevenEleven.png","세븐일레븐","24시간","","서울시 성동구 살곶이8길 22","http://map.naver.com/?dlevel=12&pinType=site&pinId=13379167&x=127.0429750&y=37.5563083&enc=b64","한양대역점"
52,9,"gs.png","GS25","24시간","","서울시 성동구 살곶이길 352","http://map.naver.com/?dlevel=12&pinType=site&pinId=32507385&x=127.0409630&y=37.5568030&enc=b64","한양으뜸점"
53,9,"sevenEleven.png","세븐일레븐","24시간","","서울시 성동구 왕십리로 235","http://map.naver.com/?dlevel=12&pinType=site&pinId=31873706&x=127.0411780&y=37.5573470&enc=b64","한양대정우점"
54,10,"","효민약국","08:00~19:00 / 공휴일 휴무","02-2281-1474","서울시 성동구 마조로 64 효민약국","http://map.naver.com/?dlevel=12&pinType=site&pinId=35169224&x=127.0419852&y=37.5633029&enc=b64","null"
55,10,"","성산약국","09:00~20:00 / 일 휴무","02-2294-8555","서울시 성동구 고산자로 234 7층","http://map.naver.com/?dlevel=12&pinType=site&pinId=19513640&x=127.0352560&y=37.5605408&enc=b64","null"
56,10,"","이수프라자약국","09:00~20:00","02-2298-2569","서울시 성동구 왕십리로 309 이수이스타빌 101호","http://map.naver.com/?dlevel=12&pinType=site&pinId=19532296&x=127.0347100&y=37.5614800&enc=b64","null"
57,10,"","정문약국","09:00~18:00 / 일 휴무","02-2295-4825","서울시 성동구 왕십리로 236-1","http://map.naver.com/?dlevel=12&pinType=site&pinId=19522185&x=127.0411875&y=37.5580250&enc=b64","null"
58,10,"","영화당약국","11:00~22:00 / 일 휴무","02-2293-0180","서울시 성동구 사근동길53","http://map.naver.com/?dlevel=12&pinType=site&pinId=19522300&x=127.0468250&y=37.5609667&enc=b64","null"
59,10,"","부일약국","06:30~20:30","02-2292-8620","서울시 성동구 왕십리로 273-1","http://map.naver.com/?dlevel=12&pinType=site&pinId=19522293&x=127.0369685&y=37.5589865&enc=b64","null"
60,10,"","우리약국","09:00~19:00 / 일 휴무","02-2293-1339","서울시 성동구 왕십리로 296-1","http://map.naver.com/?dlevel=12&pinType=site&pinId=17903818&x=127.0360260&y=37.5607220&enc=b64","null"
61,11,"","스타일치과","""08:00~18:00 / 일,공휴일 휴무""","02-2282-2119","서울시 성동구 왕십리로 309 왕십리역이스타빌","http://map.naver.com/?dlevel=12&pinType=site&pinId=11857299&x=127.0348072&y=37.5612181&enc=b64","null"
62,11,"","연세내과","10:00~18:30","02-2296-7582","서울시 성동구 고산자로 234 나래타워 8층","http://map.naver.com/?dlevel=12&pinType=site&pinId=13469472&x=127.0351750&y=37.5605510&enc=b64","null"
63,11,"","멘하탄치과","09:00~19:30","02-2281-0028","서울시 성동구 고산자로 234","http://map.naver.com/?dlevel=12&pinType=site&pinId=19517567&x=127.0352690&y=37.5606160&enc=b64","null"
64,11,"","행당의원(내과외과)","""09:30~18:00 / 일,공휴일 휴무""","02-2292-7323","서울시 성동구 왕십리로 309 왕십리역이스타빌","http://map.naver.com/?dlevel=12&pinType=site&pinId=12751346&x=127.0345967&y=37.5611972&enc=b64","null"
65,11,"","사랑의 안과","09:00~18:30 / 공휴일 휴무","02-2281-2770","서울시 성동구 고산자로 234","http://map.naver.com/?dlevel=12&pinType=site&pinId=11605220&x=127.0353161&y=37.5605536&enc=b64","null"
66,11,"","우리가정의원","""09:30~18:00 / 일,공휴일 휴무""","02-2292-5852","서울시 성동구 마조로 64 효민빌딩 2층","http://map.naver.com/?dlevel=12&pinType=site&pinId=19521016&x=127.0419528&y=37.5633283&enc=b64","null"
67,11,"","세왕병원(응급실)","24시간","02-2297-7272","서울시 성동구 왕십리로 269 세왕빌딩","http://map.naver.com/?dlevel=12&pinType=site&pinId=11559149&x=127.0375337&y=37.5585866&enc=b64","null"
68,11,"","서울연세병원","평일 09:00~18:00","02-2293-7582","서울시 성동구 왕십리로 296 종로학원","http://map.naver.com/?dlevel=12&pinType=site&pinId=13537204&x=127.0361130&y=37.5606874&enc=b64","null"
69,12,"","다큐프린팅","08:00~21:00","02-3395-9400","서울시 성동구 마조로9길 16","http://map.naver.com/?dlevel=12&pinType=site&pinId=12003147&x=127.0397625&y=37.5613750&enc=b64","null"
70,12,"","sj광고기획","09:00~21:00","02-2299-5254","서울시 성동구 마조로 59","http://map.naver.com/?dlevel=12&pinType=site&pinId=17895194&x=127.0415470&y=37.5631697&enc=b64","null"
71,12,"","한양제록스","09:00~21:30 / 일 휴무","02-2292-3603","서울시 성동구 마조로 39","http://map.naver.com/?dlevel=12&pinType=site&pinId=11722821&x=127.0413670&y=37.5613270&enc=b64","null"
72,12,"","""한아름복사,제본""","미정","02-2292-8718","서울시 성동구?마조로 41?","http://map.naver.com/?dlevel=12&pinType=site&pinId=20849762&x=127.0413840&y=37.5614190&enc=b64","null"
73,12,"","씨앤비정광문화사","10:00~22:00","02-2282-3311","서울시 성동구 사근동길 42","http://map.naver.com/?dlevel=12&pinType=site&pinId=34351694&x=127.0454410&y=37.5608320&enc=b64","null"
74,12,"","한양문화사","09:00~21:00","02-2293-0850","서울시 성동구 왕십리로 221-5","http://map.naver.com/?dlevel=12&pinType=site&pinId=17895194&x=127.0415470&y=37.5631697&enc=b64","null"
75,12,"","동진문화사","미정","02-2295-0294","서울시 성동구 왕십리로 215-2","http://map.naver.com/?dlevel=12&pinType=site&pinId=17899392&x=127.0428711&y=37.5567930&enc=b64","null"
76,12,"","한마음출력","""09:00~20:00 / 일,공휴일 휴무""","02-2292-5134","서울시 성동구 왕십리로 213 2층","http://map.naver.com/?dlevel=12&pinType=site&pinId=20926723&x=127.0430740&y=37.5565400&enc=b64","null"
77,13,"","알지문구","08:30~22:30","02-2282-7511","서울시 성동구 마조로 35","http://map.naver.com/?dlevel=12&pinType=site&pinId=17900881&x=127.0411392&y=37.5608866&enc=b64","null"
78,13,"","다이소","09:00~22:00","02-2281-6016","서울시 성동구 고산자로 234","http://map.naver.com/?dlevel=12&pinType=site&pinId=33158508&x=127.0353556&y=37.5605657&enc=b64","왕십리점"
79,13,"","모닝글로리","07:00~22:00 / 일 휴무","02-2292-2252","서울시 성동구 왕십리로 213","http://map.naver.com/?dlevel=12&pinType=site&pinId=18776289&x=127.0430516&y=37.5565179&enc=b64","행당점"
80,13,"","통큰딱따구리","07:00~21:00 / 일 휴무","","서울시 성동구 왕십리로 211","http://map.naver.com/?dlevel=12&pinType=site&pinId=18778269&x=127.0431250&y=37.5563833&enc=b64","null"
81,14,"","신한은행 ATM","07:00~23:30","","서울시 성동구 사근동 10길 제2학생생활관","http://map.naver.com/?dlevel=12&pinType=site&pinId=18775303&x=127.0497199&y=37.5598232&enc=b64","null"
82,14,"","새마을금고","07:00~23:00","02-2293-7200","서울시 성동구 사근동길 54-1","http://map.naver.com/?dlevel=11&pinType=site&pinId=13405426&x=127.0469024&y=37.5607371&enc=b64","null"
83,14,"","신한은행","07:00~23:30","","서울시 성동구 왕십리로 296","http://map.naver.com/?dlevel=13&pinType=site&pinId=18777761&x=127.0360030&y=37.5607230&enc=b64","왕십리역점"
84,14,"","서울성동우체국","""09:00~18:00 / 토,일 휴무""","02-2294-0100","서울시 성동구 왕십리로 303","http://map.naver.com/?dlevel=12&pinType=site&pinId=13287799&x=127.0347161&y=37.5609369&enc=b64","null"
85,14,"","KB국민은행","07:00~23:30","","서울시 성동구 마조로 17","http://map.naver.com/?dlevel=12&pinType=site&pinId=19585633&x=127.0407865&y=37.5592458&enc=b64","한양대사자출장점"
86,14,"","하나은행","09:00~16:00","02-2297-1111","서울시 성동구 왕십리로 235","http://map.naver.com/?dlevel=12&pinType=site&pinId=11774441&x=127.0415630&y=37.5572501&enc=b64","행당동점"
87,15,"","s라인","09:00~21:00","02-2298-7029","서울시 성동구 사근동길 34-1","http://map.naver.com/?dlevel=11&pinType=site&pinId=17897850&x=127.0452108&y=37.5607806&enc=b64","null"
88,15,"","한대옷수선","11:00~20:00","02-2291-0131","서울시 성동구 마조로 9길 17","http://map.naver.com/?dlevel=11&pinType=site&pinId=36538501&x=127.0395734&y=37.5610617&enc=b64","null"
89,1,"gupneChicken.png","굽네치킨","12:00~01:00","050-4457-9322","","","성수점"
90,2,"","복천루","10:30~21:00","02-2293-7056","","","null"
92,4,"","병천순대국","10:00~21:30","02-2297-0122","","","null"
93,4,"","돈까스원정대","11:00~21:00","02-2291-6434","","","null"
94,4,"","내가찜한닭","11:00~22:30","02-2297-0101","","","왕십리점"
95,3,"","피자샵","12:00~23:30","050-7526-6219","","","성동구점"
98,2,"","토이엔","10:40~23:30","02-2281-7277","","","행당점"
99,4,"","김밥천국","24시간","02-2299-2750","","","사근점"
100,7,"","서울왕족발보쌈","15:00~01:30","02-2297-4008","","","null"
101,2,"","은지향","10:30~21:00","02-2294-5252","","","null"
102,1,"","피자나라치킨공주","12:00~00:00","02-2299-6755","","","null"
103,4,"","한양짱분식","6:00~21:00","02-2293-9028","","","null"
104,7,"","장모족발","12:00~05:30","02-2294-0327","","","null"
105,2,"","시온반점","9:00~21:00","02-2297-0201","","","null"
106,4,"","the 진국","11:00~20:00","02-2299-9882","","","null"
107,4,"","그때그집","10:30~소진시까지","02-2294-4204","","","null"
108,5,"","카모메","11:00~21:00","02-6397-3454","","","null"
